Id,Category
0,pineapple
1,pear
2,sink
3,pillow
4,empty
5,rifle
6,skateboard
7,scorpion
8,pineapple
9,rollerskates
10,paintbrush
11,pineapple
12,rifle
13,skull
14,rabbit
15,pencil
16,pool
17,parrot
18,nose
19,rifle
20,sailboat
21,octagon
22,skateboard
23,sink
24,skull
25,mouth
26,moustache
27,shovel
28,nose
29,shovel
30,pineapple
31,nail
32,pencil
33,octagon
34,parrot
35,squiggle
36,skateboard
37,spoon
38,mouth
39,apple
40,moustache
41,scorpion
42,pillow
43,panda
44,shovel
45,pencil
46,pear
47,skull
48,nail
49,scorpion
50,sailboat
51,moustache
52,shovel
53,penguin
54,rifle
55,sailboat
56,paintbrush
57,skateboard
58,nose
59,scorpion
60,octagon
61,sailboat
62,scorpion
63,shovel
64,pillow
65,pool
66,nail
67,squiggle
68,octagon
69,pool
70,paintbrush
71,shovel
72,pool
73,scorpion
74,penguin
75,shovel
76,moustache
77,pineapple
78,empty
79,skateboard
80,scorpion
81,rifle
82,mug
83,nail
84,pineapple
85,panda
86,octagon
87,mug
88,rifle
89,parrot
90,empty
91,parrot
92,mug
93,pineapple
94,mouth
95,scorpion
96,rabbit
97,empty
98,mouth
99,rabbit
100,sailboat
101,squiggle
102,octagon
103,empty
104,nail
105,apple
106,apple
107,mug
108,skateboard
109,moustache
110,nose
111,mouth
112,empty
113,rabbit
114,paintbrush
115,shovel
116,peanut
117,rifle
118,squiggle
119,empty
120,pineapple
121,sailboat
122,pillow
123,moustache
124,apple
125,nose
126,sailboat
127,pool
128,rhinoceros
129,mug
130,rabbit
131,pool
132,empty
133,paintbrush
134,skateboard
135,squiggle
136,rollerskates
137,scorpion
138,pillow
139,sailboat
140,nail
141,scorpion
142,nail
143,pool
144,rabbit
145,panda
146,pear
147,nose
148,mouth
149,pencil
150,rifle
151,rifle
152,shovel
153,scorpion
154,pool
155,nail
156,apple
157,spoon
158,rabbit
159,octagon
160,parrot
161,pear
162,skateboard
163,pool
164,scorpion
165,penguin
166,squiggle
167,empty
168,scorpion
169,nose
170,pear
171,rifle
172,penguin
173,rabbit
174,skull
175,paintbrush
176,empty
177,moustache
178,pineapple
179,rhinoceros
180,penguin
181,sailboat
182,rollerskates
183,penguin
184,pillow
185,nail
186,mug
187,sailboat
188,octagon
189,empty
190,pineapple
191,shovel
192,sink
193,pool
194,pineapple
195,skull
196,pillow
197,penguin
198,panda
199,pool
200,pool
201,moustache
202,rollerskates
203,skull
204,mug
205,scorpion
206,rhinoceros
207,nail
208,skateboard
209,pencil
210,octagon
211,sailboat
212,rollerskates
213,moustache
214,rabbit
215,octagon
216,mouth
217,rollerskates
218,scorpion
219,mug
220,nail
221,empty
222,shovel
223,nail
224,mug
225,mug
226,squiggle
227,sink
228,sailboat
229,apple
230,scorpion
231,squiggle
232,nose
233,skateboard
234,rollerskates
235,parrot
236,mouth
237,pillow
238,octagon
239,scorpion
240,skull
241,paintbrush
242,octagon
243,shovel
244,pineapple
245,penguin
246,pineapple
247,pencil
248,screwdriver
249,sailboat
250,skull
251,panda
252,spoon
253,peanut
254,sink
255,screwdriver
256,pineapple
257,rifle
258,apple
259,pool
260,empty
261,pear
262,pineapple
263,pencil
264,mouth
265,mouth
266,peanut
267,rifle
268,parrot
269,nail
270,skull
271,rollerskates
272,nose
273,scorpion
274,octagon
275,pineapple
276,rabbit
277,skateboard
278,parrot
279,skateboard
280,moustache
281,shovel
282,moustache
283,paintbrush
284,penguin
285,mug
286,penguin
287,pool
288,mouth
289,rollerskates
290,octagon
291,mouth
292,parrot
293,mouth
294,shovel
295,panda
296,rhinoceros
297,rabbit
298,skateboard
299,pineapple
300,pencil
301,mouth
302,scorpion
303,rifle
304,spoon
305,apple
306,shovel
307,apple
308,mug
309,rifle
310,moustache
311,rifle
312,scorpion
313,spoon
314,pool
315,pineapple
316,pineapple
317,pool
318,mug
319,paintbrush
320,mouth
321,pool
322,scorpion
323,rollerskates
324,shovel
325,screwdriver
326,rifle
327,sink
328,rabbit
329,squiggle
330,shovel
331,rabbit
332,panda
333,penguin
334,octagon
335,rollerskates
336,pineapple
337,skateboard
338,empty
339,sailboat
340,mouth
341,pool
342,sailboat
343,octagon
344,paintbrush
345,sink
346,rollerskates
347,nail
348,empty
349,spoon
350,octagon
351,pineapple
352,nail
353,octagon
354,octagon
355,moustache
356,rhinoceros
357,pool
358,scorpion
359,peanut
360,empty
361,parrot
362,empty
363,mouth
364,pool
365,mouth
366,pencil
367,empty
368,pool
369,nail
370,pool
371,sink
372,scorpion
373,mug
374,pineapple
375,nail
376,skull
377,empty
378,rifle
379,shovel
380,pineapple
381,skateboard
382,rhinoceros
383,sailboat
384,sailboat
385,scorpion
386,apple
387,octagon
388,pencil
389,screwdriver
390,scorpion
391,scorpion
392,pencil
393,nail
394,pool
395,sink
396,pear
397,octagon
398,shovel
399,sink
400,pool
401,mouth
402,mug
403,rifle
404,mouth
405,pineapple
406,pineapple
407,apple
408,mouth
409,panda
410,skateboard
411,octagon
412,panda
413,penguin
414,parrot
415,nail
416,sailboat
417,nail
418,spoon
419,rhinoceros
420,rabbit
421,spoon
422,nail
423,pear
424,rhinoceros
425,nail
426,mouth
427,pear
428,rabbit
429,panda
430,rollerskates
431,mouth
432,squiggle
433,mug
434,paintbrush
435,octagon
436,rabbit
437,sailboat
438,apple
439,nail
440,paintbrush
441,parrot
442,penguin
443,mug
444,paintbrush
445,pencil
446,rabbit
447,scorpion
448,mug
449,rabbit
450,panda
451,pineapple
452,pencil
453,shovel
454,empty
455,moustache
456,rifle
457,shovel
458,pool
459,rifle
460,pencil
461,mouth
462,pear
463,nail
464,rollerskates
465,sailboat
466,nail
467,mouth
468,paintbrush
469,pool
470,rifle
471,sailboat
472,sink
473,octagon
474,pillow
475,rifle
476,pineapple
477,penguin
478,rollerskates
479,mouth
480,nail
481,parrot
482,squiggle
483,nail
484,mug
485,mug
486,rhinoceros
487,parrot
488,peanut
489,octagon
490,pineapple
491,moustache
492,mug
493,pineapple
494,mouth
495,octagon
496,rhinoceros
497,rifle
498,panda
499,pillow
500,sailboat
501,penguin
502,sink
503,sink
504,peanut
505,nail
506,moustache
507,empty
508,octagon
509,skull
510,octagon
511,pool
512,peanut
513,pencil
514,shovel
515,nose
516,nail
517,rhinoceros
518,mug
519,mug
520,mug
521,spoon
522,octagon
523,pool
524,spoon
525,nose
526,pool
527,rollerskates
528,octagon
529,sailboat
530,rifle
531,paintbrush
532,octagon
533,pillow
534,moustache
535,rifle
536,panda
537,rollerskates
538,penguin
539,spoon
540,apple
541,spoon
542,rifle
543,panda
544,mug
545,rifle
546,nail
547,moustache
548,pillow
549,rifle
550,sink
551,empty
552,spoon
553,nail
554,moustache
555,rifle
556,skull
557,rifle
558,skateboard
559,penguin
560,skateboard
561,apple
562,empty
563,moustache
564,moustache
565,peanut
566,shovel
567,moustache
568,paintbrush
569,moustache
570,spoon
571,empty
572,rifle
573,squiggle
574,nail
575,spoon
576,pool
577,pool
578,rabbit
579,mug
580,skateboard
581,pillow
582,apple
583,penguin
584,pear
585,mug
586,pool
587,pencil
588,rifle
589,skateboard
590,peanut
591,skateboard
592,sailboat
593,octagon
594,moustache
595,mouth
596,octagon
597,penguin
598,spoon
599,mouth
600,moustache
601,skateboard
602,skull
603,spoon
604,pillow
605,peanut
606,empty
607,pineapple
608,scorpion
609,empty
610,nail
611,octagon
612,octagon
613,scorpion
614,nail
615,pillow
616,mug
617,mug
618,panda
619,mouth
620,empty
621,rabbit
622,pineapple
623,paintbrush
624,sink
625,pool
626,paintbrush
627,rabbit
628,skateboard
629,panda
630,peanut
631,pineapple
632,spoon
633,sink
634,nail
635,scorpion
636,scorpion
637,panda
638,scorpion
639,skull
640,scorpion
641,mug
642,skateboard
643,shovel
644,peanut
645,pillow
646,sailboat
647,sailboat
648,scorpion
649,rabbit
650,nail
651,pineapple
652,pencil
653,skateboard
654,skateboard
655,empty
656,apple
657,empty
658,nose
659,sailboat
660,moustache
661,apple
662,rabbit
663,mug
664,apple
665,sailboat
666,mug
667,parrot
668,nose
669,mouth
670,mug
671,moustache
672,panda
673,pear
674,pool
675,squiggle
676,moustache
677,skull
678,spoon
679,pencil
680,pillow
681,mouth
682,pool
683,rollerskates
684,rabbit
685,apple
686,scorpion
687,shovel
688,moustache
689,mouth
690,spoon
691,paintbrush
692,scorpion
693,rhinoceros
694,rollerskates
695,sink
696,paintbrush
697,rabbit
698,screwdriver
699,moustache
700,pool
701,peanut
702,rollerskates
703,sailboat
704,penguin
705,mug
706,mug
707,pineapple
708,rifle
709,paintbrush
710,moustache
711,rifle
712,nose
713,pool
714,rabbit
715,rhinoceros
716,scorpion
717,sailboat
718,pineapple
719,mug
720,pineapple
721,moustache
722,empty
723,octagon
724,sailboat
725,empty
726,sink
727,rhinoceros
728,rifle
729,octagon
730,empty
731,rifle
732,nail
733,nail
734,empty
735,mouth
736,pineapple
737,rifle
738,skull
739,peanut
740,sailboat
741,rollerskates
742,screwdriver
743,nail
744,nail
745,pool
746,pineapple
747,skateboard
748,octagon
749,empty
750,shovel
751,parrot
752,spoon
753,pool
754,octagon
755,mug
756,apple
757,parrot
758,skull
759,penguin
760,mouth
761,empty
762,octagon
763,pineapple
764,sink
765,scorpion
766,skull
767,skateboard
768,nose
769,rabbit
770,skull
771,sailboat
772,nose
773,apple
774,skull
775,apple
776,scorpion
777,rhinoceros
778,pool
779,skateboard
780,empty
781,sink
782,rabbit
783,paintbrush
784,nail
785,penguin
786,nail
787,mug
788,apple
789,paintbrush
790,empty
791,nose
792,shovel
793,rabbit
794,mug
795,octagon
796,pineapple
797,moustache
798,nose
799,sailboat
800,peanut
801,squiggle
802,mouth
803,mouth
804,sailboat
805,empty
806,scorpion
807,mug
808,peanut
809,octagon
810,skateboard
811,pear
812,squiggle
813,sailboat
814,pineapple
815,screwdriver
816,sailboat
817,octagon
818,octagon
819,octagon
820,mouth
821,mouth
822,squiggle
823,sailboat
824,pillow
825,moustache
826,empty
827,octagon
828,rifle
829,skull
830,scorpion
831,nail
832,pineapple
833,shovel
834,empty
835,paintbrush
836,mouth
837,penguin
838,pool
839,rifle
840,screwdriver
841,sailboat
842,nail
843,panda
844,moustache
845,moustache
846,moustache
847,scorpion
848,mug
849,apple
850,rifle
851,rollerskates
852,rhinoceros
853,rollerskates
854,panda
855,empty
856,skull
857,rhinoceros
858,empty
859,skateboard
860,pineapple
861,pool
862,pineapple
863,sailboat
864,mug
865,pool
866,panda
867,peanut
868,pineapple
869,rhinoceros
870,screwdriver
871,pool
872,moustache
873,pineapple
874,nail
875,skateboard
876,nail
877,paintbrush
878,nose
879,moustache
880,mug
881,octagon
882,sink
883,rollerskates
884,rollerskates
885,mug
886,screwdriver
887,pool
888,rifle
889,octagon
890,rifle
891,shovel
892,sailboat
893,peanut
894,skateboard
895,nail
896,moustache
897,sailboat
898,octagon
899,rabbit
900,screwdriver
901,apple
902,pool
903,pineapple
904,rifle
905,skull
906,rabbit
907,moustache
908,scorpion
909,octagon
910,pillow
911,rifle
912,penguin
913,empty
914,penguin
915,sailboat
916,mouth
917,empty
918,rhinoceros
919,apple
920,rifle
921,sailboat
922,sailboat
923,shovel
924,moustache
925,spoon
926,paintbrush
927,moustache
928,mug
929,penguin
930,apple
931,rhinoceros
932,octagon
933,paintbrush
934,pencil
935,penguin
936,nail
937,spoon
938,sailboat
939,skateboard
940,mug
941,penguin
942,panda
943,peanut
944,pool
945,apple
946,mouth
947,octagon
948,penguin
949,nose
950,nail
951,mouth
952,apple
953,pool
954,paintbrush
955,rifle
956,pencil
957,pool
958,parrot
959,nail
960,rifle
961,shovel
962,skull
963,moustache
964,pineapple
965,pillow
966,pool
967,parrot
968,apple
969,rifle
970,skateboard
971,sink
972,peanut
973,empty
974,apple
975,pillow
976,nail
977,peanut
978,pineapple
979,octagon
980,moustache
981,empty
982,pineapple
983,mug
984,sink
985,pool
986,mouth
987,pool
988,rollerskates
989,pencil
990,scorpion
991,rifle
992,mug
993,pineapple
994,octagon
995,mug
996,mug
997,peanut
998,pineapple
999,moustache
1000,pencil
1001,pineapple
1002,moustache
1003,rifle
1004,screwdriver
1005,moustache
1006,pear
1007,moustache
1008,pineapple
1009,sailboat
1010,rollerskates
1011,octagon
1012,mouth
1013,pillow
1014,skateboard
1015,nail
1016,octagon
1017,pineapple
1018,skull
1019,nail
1020,moustache
1021,pillow
1022,sailboat
1023,sailboat
1024,pool
1025,shovel
1026,mouth
1027,pool
1028,pencil
1029,pear
1030,skateboard
1031,parrot
1032,rifle
1033,rifle
1034,spoon
1035,pool
1036,paintbrush
1037,sailboat
1038,mug
1039,parrot
1040,pear
1041,skull
1042,mug
1043,rhinoceros
1044,nail
1045,apple
1046,mouth
1047,empty
1048,rifle
1049,pencil
1050,skull
1051,penguin
1052,squiggle
1053,pineapple
1054,empty
1055,pillow
1056,nail
1057,empty
1058,rollerskates
1059,squiggle
1060,scorpion
1061,pool
1062,sailboat
1063,octagon
1064,paintbrush
1065,nose
1066,pineapple
1067,parrot
1068,sailboat
1069,mouth
1070,pencil
1071,mug
1072,rabbit
1073,apple
1074,sailboat
1075,skull
1076,mouth
1077,moustache
1078,mouth
1079,pineapple
1080,rollerskates
1081,mouth
1082,sailboat
1083,mouth
1084,nose
1085,mouth
1086,panda
1087,mouth
1088,penguin
1089,nail
1090,penguin
1091,peanut
1092,scorpion
1093,penguin
1094,sink
1095,mouth
1096,scorpion
1097,scorpion
1098,moustache
1099,mouth
1100,pool
1101,octagon
1102,sink
1103,skull
1104,pear
1105,moustache
1106,pool
1107,rifle
1108,panda
1109,sink
1110,mouth
1111,skateboard
1112,pear
1113,scorpion
1114,pool
1115,sailboat
1116,parrot
1117,nail
1118,octagon
1119,nail
1120,nail
1121,rabbit
1122,pear
1123,rabbit
1124,moustache
1125,nail
1126,skull
1127,rhinoceros
1128,rifle
1129,scorpion
1130,rabbit
1131,sailboat
1132,rhinoceros
1133,scorpion
1134,spoon
1135,paintbrush
1136,skateboard
1137,octagon
1138,paintbrush
1139,mug
1140,pear
1141,rifle
1142,scorpion
1143,apple
1144,pineapple
1145,paintbrush
1146,penguin
1147,skateboard
1148,scorpion
1149,spoon
1150,panda
1151,shovel
1152,penguin
1153,mouth
1154,rollerskates
1155,penguin
1156,shovel
1157,apple
1158,pear
1159,mug
1160,shovel
1161,nail
1162,sailboat
1163,pool
1164,shovel
1165,panda
1166,pineapple
1167,mug
1168,skull
1169,apple
1170,pineapple
1171,apple
1172,nose
1173,mouth
1174,rifle
1175,paintbrush
1176,empty
1177,parrot
1178,moustache
1179,nail
1180,mouth
1181,squiggle
1182,apple
1183,skateboard
1184,paintbrush
1185,shovel
1186,skull
1187,rhinoceros
1188,moustache
1189,squiggle
1190,screwdriver
1191,pool
1192,sink
1193,pencil
1194,panda
1195,rhinoceros
1196,spoon
1197,parrot
1198,mouth
1199,rhinoceros
1200,shovel
1201,octagon
1202,pencil
1203,rifle
1204,octagon
1205,pencil
1206,skateboard
1207,mouth
1208,paintbrush
1209,scorpion
1210,rollerskates
1211,skateboard
1212,empty
1213,screwdriver
1214,peanut
1215,pool
1216,octagon
1217,shovel
1218,nail
1219,peanut
1220,pear
1221,rhinoceros
1222,octagon
1223,shovel
1224,skateboard
1225,mouth
1226,pool
1227,sink
1228,octagon
1229,pear
1230,skull
1231,pool
1232,empty
1233,mug
1234,pineapple
1235,mouth
1236,rollerskates
1237,sailboat
1238,squiggle
1239,scorpion
1240,nail
1241,skull
1242,scorpion
1243,rifle
1244,mouth
1245,moustache
1246,pineapple
1247,skull
1248,rollerskates
1249,octagon
1250,rabbit
1251,octagon
1252,mug
1253,sink
1254,pool
1255,scorpion
1256,mug
1257,rollerskates
1258,rabbit
1259,penguin
1260,shovel
1261,mug
1262,parrot
1263,moustache
1264,nail
1265,panda
1266,rifle
1267,sailboat
1268,pool
1269,moustache
1270,pool
1271,rifle
1272,moustache
1273,rifle
1274,octagon
1275,apple
1276,paintbrush
1277,rhinoceros
1278,squiggle
1279,rabbit
1280,paintbrush
1281,skateboard
1282,skateboard
1283,pool
1284,mouth
1285,octagon
1286,rhinoceros
1287,parrot
1288,screwdriver
1289,nail
1290,scorpion
1291,moustache
1292,nose
1293,penguin
1294,penguin
1295,moustache
1296,skull
1297,pineapple
1298,rifle
1299,screwdriver
1300,scorpion
1301,rabbit
1302,rifle
1303,panda
1304,pear
1305,octagon
1306,rabbit
1307,screwdriver
1308,nose
1309,sailboat
1310,pool
1311,apple
1312,octagon
1313,pineapple
1314,apple
1315,mug
1316,mouth
1317,spoon
1318,pineapple
1319,paintbrush
1320,pineapple
1321,paintbrush
1322,nose
1323,scorpion
1324,rhinoceros
1325,sailboat
1326,pool
1327,pineapple
1328,nail
1329,rifle
1330,nail
1331,nail
1332,mouth
1333,pencil
1334,nail
1335,scorpion
1336,empty
1337,nail
1338,screwdriver
1339,parrot
1340,pencil
1341,nail
1342,empty
1343,pillow
1344,nail
1345,rifle
1346,rollerskates
1347,panda
1348,squiggle
1349,moustache
1350,mouth
1351,apple
1352,nose
1353,parrot
1354,nail
1355,skateboard
1356,pillow
1357,nose
1358,nail
1359,nail
1360,scorpion
1361,moustache
1362,pillow
1363,pencil
1364,pear
1365,pool
1366,octagon
1367,pineapple
1368,scorpion
1369,mouth
1370,rifle
1371,penguin
1372,mouth
1373,mouth
1374,paintbrush
1375,moustache
1376,rabbit
1377,pear
1378,screwdriver
1379,parrot
1380,empty
1381,empty
1382,mouth
1383,pencil
1384,scorpion
1385,pear
1386,parrot
1387,pool
1388,octagon
1389,scorpion
1390,skull
1391,pillow
